loss,weight_order,prod_distance_order,time_delivery_order,lambda
9286016927,1,4,1,1.0,602475.2650155053 90821.34536259738 -36492.34965488536 70493.30377342696 15958.502110645215 -14809.40575405892 -737.5786380837338
9311340869,1,4,2,0.0,598539.6164987942 90820.68187680586 -36360.03039078037 74103.00161619003 15952.412818663326 -15875.686693620135 -753.342209107437 2011.332294732324
9311341335,1,4,2,0.2,598539.5747502827 90820.68158702266 -36360.01887415357 74103.09877838095 15952.40939755301 -15875.71740982454 -753.3425529871596 2011.3360873656536
9311341632,1,4,2,0.4,598539.5698673783 90820.68151294962 -36360.060098359914 74103.11683818526 15952.42706961314 -15875.723777957945 -753.3421543773932 2011.33577134023
9311340820,1,4,2,0.6,598539.620728477 90820.6819110734 -36360.03160787158 74102.99102560399 15952.413173909621 -15875.683323579991 -753.3421737460529 2011.3320649621162
9311341267,1,4,2,0.8,598539.5838103445 90820.68165392423 -36360.02790808691 74103.0771702928 15952.412887942783 -15875.710633120849 -753.3424109919921 2011.3354668645604
9311341667,1,4,2,1.0,598539.5543995847 90820.68142253868 -36360.03124598433 74103.1499214224 15952.4153811728 -15875.733884914742 -753.3425352209067 2011.337419280769
9311827271,1,4,3,0.0,598506.9043559873 90815.76227437283 -36353.43784995455 74128.44791982412 15950.891239249739 -15878.392370507367 -2416.8853870411426 2013.0376995125616 870.6975492811148
9311826236,1,4,3,0.2,598506.9739541244 90815.76273776863 -36353.4112448369 74128.27670518607 15950.877476212527 -15878.337413054998 -2416.913294638083 2013.0324037591863 870.7110416064102
9311826565,1,4,3,0.4,598506.9533139473 90815.76257464464 -36353.4229204519 74128.32724756683 15950.883155519648 -15878.35364932885 -2416.91500750079 2013.0340028787061 870.7119066287696
9311826552,1,4,3,0.6,598506.9657376688 90815.76267506102 -36353.448841749 74128.30266315886 15950.893729124551 -15878.34628139221 -2416.9000269427534 2013.0324182377692 870.7047546129243
9311825979,1,4,3,0.8,598506.9896019397 90815.76288938009 -36353.401534893834 74128.23941335914 15950.872819885668 -15878.325477392731 -2416.89937118237 2013.0310616194581 870.7042523266559
9311826240,1,4,3,1.0,598506.9785529772 90815.76288977666 -36353.42446255687 74128.26977727846 15950.882933298188 -15878.335578726113 -2416.860909594382 2013.031770081719 870.6856678117781
9479540278,1,4,4,0.0,574882.638326328 90926.00309585383 -36479.31393954311 71718.2848040125 15871.382784140491 -15002.038623291464 -1448.750629149014 71474.29522630437 479.81368475183103 -25588.374233986637
9479540807,1,4,4,0.2,574882.6046935647 90926.00304103931 -36479.3308420573 71718.32166998432 15871.390393900312 -15002.050443552886 -1448.7565938220182 71474.34829447058 479.81669890950025 -25588.3932411426
9479540206,1,4,4,0.4,574882.6438835938 90926.00281947832 -36479.31353336558 71718.32688542835 15871.383334215976 -15002.05216178744 -1448.7689645878208 71474.2356974677 479.82250513282224 -25588.352406191458
9479540419,1,4,4,0.6,574882.6298927112 90926.00323502818 -36479.32009886862 71718.26265588476 15871.384986711551 -15002.031499554265 -1448.7516766625 71474.3414089358 479.814278342526 -25588.391098305718
